Rk,G,2010 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-04-17,WC1,UTA,@,DEN,1,L (-13),1,37:53,2,5,.400,0,1,.000,2,2,1.000,0,4,4,2,1,0,1,3,6,4.7,-9
2,2,2010-04-19,WC1,UTA,@,DEN,2,W (+3),1,30:35,1,7,.143,1,3,.333,4,4,1.000,0,3,3,1,2,0,1,4,7,3.5,+8
3,3,2010-04-23,WC1,UTA,,DEN,3,W (+12),1,37:07,4,12,.333,3,7,.429,3,4,.750,2,3,5,1,3,0,1,4,14,10.2,+5
4,4,2010-04-25,WC1,UTA,,DEN,4,W (+11),1,42:17,7,11,.636,1,3,.333,3,4,.750,2,3,5,3,3,1,0,3,18,19.6,+13
5,5,2010-04-28,WC1,UTA,@,DEN,5,L (-14),1,39:23,4,10,.400,1,5,.200,6,8,.750,0,0,0,1,0,1,2,3,15,7.0,-7
6,6,2010-04-30,WC1,UTA,,DEN,6,W (+8),1,39:40,4,12,.333,2,4,.500,13,15,.867,1,4,5,4,0,1,3,2,23,17.0,+11
7,7,2010-05-02,WCS,UTA,@,LAL,1,L (-5),1,34:26,5,12,.417,2,4,.500,2,2,1.000,1,6,7,2,3,0,3,4,14,9.9,-7
8,8,2010-05-04,WCS,UTA,@,LAL,2,L (-8),1,34:20,5,11,.455,4,6,.667,0,1,.000,2,3,5,1,3,0,1,3,14,11.7,-4
9,9,2010-05-08,WCS,UTA,,LAL,3,L (-1),1,37:57,2,11,.182,0,6,.000,5,6,.833,1,5,6,2,2,1,2,4,9,4.4,+2
10,10,2010-05-10,WCS,UTA,,LAL,4,L (-15),1,37:45,5,10,.500,1,3,.333,1,2,.500,1,3,4,0,1,1,1,4,12,7.3,-19
11,1,2011-04-16,WC1,POR,@,DAL,1,L (-8),1,19:06,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,0,3,2,2,-2.2,-7
12,2,2011-04-19,WC1,POR,@,DAL,2,L (-12),1,36:04,6,11,.545,1,2,.500,0,0,,1,0,1,0,0,1,3,4,13,4.5,-4
13,3,2011-04-21,WC1,POR,,DAL,3,W (+5),1,36:22,8,12,.667,4,6,.667,5,6,.833,0,2,2,3,2,0,0,2,25,23.3,+5
14,4,2011-04-23,WC1,POR,,DAL,4,W (+2),1,36:18,4,10,.400,1,3,.333,2,2,1.000,1,0,1,2,1,0,0,3,11,7.5,-3
15,5,2011-04-25,WC1,POR,@,DAL,5,L (-11),1,36:24,3,7,.429,0,2,.000,2,4,.500,0,0,0,0,0,0,1,4,8,0.9,-7
16,6,2011-04-28,WC1,POR,,DAL,6,L (-7),1,37:48,5,14,.357,2,7,.286,7,7,1.000,0,2,2,1,0,0,0,0,19,12.5,-10
17,1,2014-04-20,WC1,POR,@,HOU,1,W (+2),1,42:23,6,16,.375,1,7,.143,5,6,.833,1,0,1,1,3,0,4,5,18,7.2,+9
18,2,2014-04-23,WC1,POR,@,HOU,2,W (+7),1,39:31,4,11,.364,1,5,.200,0,0,,0,4,4,1,1,0,2,3,9,2.6,+4
19,3,2014-04-25,WC1,POR,,HOU,3,L (-5),1,37:27,2,7,.286,1,5,.200,0,0,,1,1,2,1,0,0,2,6,5,-1.8,-15
20,4,2014-04-27,WC1,POR,,HOU,4,W (+3),1,41:33,8,15,.533,2,6,.333,3,4,.750,0,4,4,3,4,0,2,3,21,17.4,+9
21,5,2014-04-30,WC1,POR,@,HOU,5,L (-10),1,38:46,9,18,.500,5,9,.556,4,4,1.000,0,2,2,0,1,3,1,4,27,19.1,-5
22,6,2014-05-02,WC1,POR,,HOU,6,W (+1),1,39:40,4,13,.308,2,8,.250,2,4,.500,1,2,3,0,1,0,3,4,12,1.4,+3
23,7,2014-05-06,WCS,POR,@,SAS,1,L (-24),1,34:16,2,6,.333,0,3,.000,4,5,.800,1,3,4,1,1,0,3,6,8,2.1,-19
24,8,2014-05-08,WCS,POR,@,SAS,2,L (-17),1,38:11,6,12,.500,2,4,.500,0,0,,1,6,7,4,0,0,2,3,14,10.1,-20
25,9,2014-05-10,WCS,POR,,SAS,3,L (-15),1,39:43,6,14,.429,4,10,.400,6,7,.857,0,4,4,1,2,0,1,4,22,15.5,-10
26,10,2014-05-12,WCS,POR,,SAS,4,W (+11),1,38:06,4,14,.286,2,7,.286,0,0,,2,6,8,1,1,2,1,3,10,5.9,+10
27,11,2014-05-14,WCS,POR,@,SAS,5,L (-22),1,36:36,5,10,.500,2,4,.500,2,2,1.000,0,4,4,1,0,0,1,4,14,8.3,-17
28,,2015-04-19,WC1,POR,@,MEM,1,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2015-04-22,WC1,POR,@,MEM,2,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2015-04-25,WC1,POR,,MEM,3,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2015-04-27,WC1,POR,,MEM,4,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2015-04-29,WC1,POR,@,MEM,5,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,1,2016-04-16,WC1,DAL,@,OKC,1,L (-38),1,29:21,3,10,.300,1,6,.167,0,0,,0,2,2,1,1,0,0,4,7,1.9,-40
34,2,2016-04-18,WC1,DAL,@,OKC,2,W (+1),1,36:24,3,11,.273,0,7,.000,0,0,,0,6,6,1,2,0,0,1,6,3.6,-1
35,3,2016-04-21,WC1,DAL,,OKC,3,L (-29),1,32:50,6,13,.462,3,7,.429,7,10,.700,2,3,5,2,2,0,1,4,22,17.2,-28
36,4,2016-04-23,WC1,DAL,,OKC,4,L (-11),1,37:43,5,13,.385,3,8,.375,6,7,.857,0,2,2,1,0,0,2,3,19,9.6,-16
37,5,2016-04-25,WC1,DAL,@,OKC,5,L (-14),1,37:03,3,13,.231,3,7,.429,2,2,1.000,2,1,3,1,1,0,1,2,11,4.7,-21
38,1,2019-04-14,EC1,IND,@,BOS,1,L (-10),1,29:22,3,8,.375,2,6,.333,0,0,,0,1,1,1,1,1,3,1,8,2.9,-16
39,2,2019-04-17,EC1,IND,@,BOS,2,L (-8),1,27:59,2,8,.250,2,6,.333,0,0,,0,3,3,5,0,0,2,3,6,2.4,+5
40,3,2019-04-19,EC1,IND,,BOS,3,L (-8),1,32:11,3,7,.429,2,4,.500,3,3,1.000,0,4,4,0,1,0,1,1,11,8.1,-7
41,4,2019-04-21,EC1,IND,,BOS,4,L (-4),1,29:05,1,7,.143,1,5,.200,0,0,,0,2,2,2,1,0,2,1,3,-0.9,+4
42,1,2020-08-18,EC1,MIL,,ORL,1,L (-12),1,25:45,4,6,.667,2,4,.500,0,0,,1,3,4,2,1,0,0,0,10,11.4,-2
43,2,2020-08-20,EC1,MIL,,ORL,2,W (+15),1,21:44,2,5,.400,2,5,.400,1,2,.500,0,0,0,1,0,0,0,3,7,3.4,+2
44,3,2020-08-22,EC1,MIL,@,ORL,3,W (+14),1,24:38,3,6,.500,3,6,.500,0,0,,0,1,1,0,1,0,1,2,9,5.5,+20
45,4,2020-08-24,EC1,MIL,@,ORL,4,W (+15),1,21:40,4,6,.667,4,6,.667,0,0,,0,2,2,3,1,0,1,4,12,10.5,+5
46,5,2020-08-29,EC1,MIL,,ORL,5,W (+14),1,23:30,1,9,.111,1,7,.143,0,0,,0,2,2,2,1,0,1,2,3,-1.7,+15
47,6,2020-08-31,ECS,MIL,,MIA,1,L (-11),1,23:46,2,4,.500,2,3,.667,1,2,.500,0,1,1,0,1,2,1,2,7,5.5,-11
48,7,2020-09-02,ECS,MIL,,MIA,2,L (-2),1,30:15,2,8,.250,0,2,.000,0,0,,3,1,4,0,1,0,3,3,4,-1.6,-4
49,8,2020-09-04,ECS,MIL,@,MIA,3,L (-15),1,21:25,2,3,.667,2,3,.667,0,0,,1,1,2,0,0,0,0,1,6,5.3,-12
50,9,2020-09-06,ECS,MIL,@,MIA,4,W (+3),1,24:53,1,4,.250,1,4,.250,0,0,,0,1,1,0,1,0,0,2,3,1.1,-25
51,10,2020-09-08,ECS,MIL,,MIA,5,L (-9),1,28:41,3,6,.500,0,3,.000,5,6,.833,1,0,1,1,2,2,0,1,11,12.0,-8
52,1,2021-05-23,WC1,LAL,@,PHO,1,L (-9),0,11:45,1,4,.250,0,3,.000,0,0,,0,0,0,0,0,0,0,2,2,-1.2,-7
53,2,2021-05-25,WC1,LAL,@,PHO,2,W (+7),0,4:10,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-8
54,3,2021-05-27,WC1,LAL,,PHO,3,W (+14),0,18:28,2,5,.400,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,2,8,4.5,+8
55,4,2021-05-30,WC1,LAL,,PHO,4,L (-8),1,25:16,2,5,.400,2,5,.400,0,0,,1,1,2,1,0,0,0,3,6,3.8,-15
56,5,2021-06-01,WC1,LAL,@,PHO,5,L (-30),0,22:06,1,5,.200,1,5,.200,2,2,1.000,0,1,1,0,1,0,0,3,5,2.0,-10
57,6,2021-06-03,WC1,LAL,,PHO,6,L (-13),0,28:23,4,12,.333,2,6,.333,2,2,1.000,4,2,6,1,1,0,0,2,12,9.5,-4
58,1,2022-04-17,EC1,MIL,,CHI,1,W (+7),1,26:51,2,3,.667,2,3,.667,0,0,,0,5,5,1,0,0,2,2,6,4.1,+9
59,2,2022-04-20,EC1,MIL,,CHI,2,L (-4),1,34:01,4,7,.571,3,6,.500,0,2,.000,0,2,2,1,0,2,0,3,11,8.4,-13
60,3,2022-04-22,EC1,MIL,@,CHI,3,W (+30),1,24:46,1,3,.333,1,3,.333,0,0,,2,1,3,1,1,0,1,3,3,2.5,+14
61,4,2022-04-24,EC1,MIL,@,CHI,4,W (+24),1,26:17,2,6,.333,2,5,.400,0,0,,0,3,3,1,0,0,0,3,6,3.0,+10
62,5,2022-04-27,EC1,MIL,,CHI,5,W (+16),1,27:15,3,6,.500,2,4,.500,0,0,,0,1,1,4,4,0,0,1,8,11.7,+16
63,6,2022-05-01,ECS,MIL,@,BOS,1,W (+12),1,28:46,2,7,.286,1,6,.167,0,0,,0,2,2,2,1,0,1,2,5,2.1,-1
64,7,2022-05-03,ECS,MIL,@,BOS,2,L (-23),1,29:52,1,2,.500,0,1,.000,2,2,1.000,0,4,4,0,0,0,0,1,4,3.8,-24
65,8,2022-05-07,ECS,MIL,,BOS,3,W (+2),1,32:07,1,5,.200,1,2,.500,0,0,,3,1,4,0,0,0,0,4,3,0.7,+11
66,9,2022-05-09,ECS,MIL,,BOS,4,L (-8),1,28:38,3,5,.600,3,4,.750,3,3,1.000,0,0,0,0,2,1,0,4,12,10.8,+7
67,10,2022-05-11,ECS,MIL,@,BOS,5,W (+3),1,36:38,3,9,.333,3,6,.500,0,0,,3,4,7,2,1,0,0,0,9,9.6,+6
68,11,2022-05-13,ECS,MIL,,BOS,6,L (-13),1,27:43,2,6,.333,0,2,.000,0,0,,0,4,4,2,0,0,1,2,4,1.4,-4
69,12,2022-05-15,ECS,MIL,@,BOS,7,L (-28),1,21:41,1,5,.200,0,3,.000,1,2,.500,1,1,2,0,0,0,1,2,3,-1.3,-23